C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
2714 |* omi Per                          |** |03 44 19.13204 +32 17 17.6929          |056.07971685 +32.28824802          | 3.13 | 3.88 | 3.83 | 3.71 | 3.71 |B1III                | 580 |   0
2715 |HD 196761                          |PM*|20 40 11.7546336973 -23 46 25.924674471|310.0489776404055 -23.7738679651309|     ~| 7.09 | 6.37 |     ~|     ~|G7.5IV-V             | 180 |   0
2716 |HD 205877                          |** |21 39 59.7198842065 -52 21 32.408874224|324.9988328508604 -52.3590024650622|     ~| 6.784| 6.202|     ~|     ~|G8/K0III+A/F         |  21 |   0
2717 |HD 34531                           |PM*|05 28 47.9823443143 +78 18 01.355513851|082.1999264346429 +78.3003765316253|     ~| 7.09 | 6.72 |     ~|     ~|F0                   |  24 |   0
2718 |HD 1461                            |PM*|00 18 41.8673684261 -08 03 10.805762856|004.6744473684421 -08.0530016007933|     ~| 7.14 | 6.46 |     ~|     ~|G3VFe0.5             | 335 |   1
2719 |HD 8629                            |PM*|01 24 40.3198910009 -34 08 23.815278146|021.1679995458369 -34.1399486883738|     ~| 7.69 | 6.69 |     ~|     ~|K0III                |  14 |   0
2720 |* bet Cir                          |PM*|15 17 30.8501567 -58 48 04.337319      |229.3785423196 -58.8012048108      |     ~| 4.153| 4.057|     ~|     ~|A3Va                 | 116 |   0
2721 |* 1 Del A                          |*  |20 30 17.9619129096 +10 53 45.337136515|307.5748413037900 +10.8959269823653|     ~| 6.16 | 6.20 |     ~|     ~|~                    |   2 |   0
2722 |HD 162123                          |*  |17 51 44.5592377039 -45 36 02.550166304|267.9356634904327 -45.6007083795289|     ~| 7.051| 6.087|     ~|     ~|G6III                |  14 |   0
2723 |BD-11 1951                         |** |07 27 51.66072 -11 33 24.7075          |111.96525300 -11.55686320          |     ~| 6.406| 5.868|     ~|     ~|F8III+B3V            |  58 |   1
2724 |V* BD Cam                          |Sy*|03 42 09.3284345030 +63 13 00.463126693|055.5388684770958 +63.2167953129704| 8.56 | 6.74 | 5.11 | 3.49 | 2.11 |S3.5/2               | 202 |   0
2725 |* 8 Cnc                            |PM*|08 05 04.4893909736 +13 07 05.591286688|121.2687057957232 +13.1182198018578|     ~| 5.141| 5.136|     ~|     ~|A1V                  |  53 |   0
2726 |* 13 Del                           |*  |20 47 48.3331325336 +06 00 29.546433151|311.9513880522234 +06.0082073425419|     ~| 5.62 | 5.64 |     ~|     ~|A0V                  |  40 |   0
2727 |HD 58063                           |V* |07 22 35.6510589669 -32 02 45.639967272|110.6485460790286 -32.0460111020200|     ~| 6.654| 6.828|     ~|     ~|B3III                |  40 |   0
2728 |HD 169454                          |s*b|18 25 15.1938696996 -13 58 42.305035144|276.3133077904151 -13.9784180653179| 7.39 | 7.61 | 6.71 | 5.82 | 5.13 |B1Ia                 | 317 |   0
2729 |HD 41312                           |** |06 03 15.6035172436 -26 17 04.347109442|090.8150146551816 -26.2845408637338| 7.82 | 6.38 | 5.04 |     ~|     ~|K2.5IIIFe-2          |  67 |   0
2730 |HD 150421                          |*  |16 43 03.5656043929 -46 04 13.056397796|250.7648566849704 -46.0702934438322|     ~| 7.04 | 6.27 |     ~|     ~|F6II                 |  36 |   0
2731 |* 36 Cyg                           |*  |20 18 28.6550999985 +36 59 59.290237546|304.6193962499937 +36.9998028437627| 5.64 | 5.64 | 5.58 |     ~| 5.51 |A2V                  |  71 |   0
2732 |HD 74558                           |PM*|08 42 47.3687815947 -46 48 26.144622962|130.6973699233114 -46.8072623952671|     ~| 7.165| 6.916|     ~|     ~|A9V                  |  25 |   0
2733 |* 29 Psc                           |V* |00 01 49.4471402460 -03 01 39.021673975|000.4560297510252 -03.0275060205485| 4.47 | 4.98 | 5.10 |     ~|     ~|B7III-IV             | 211 |   0
2734 |HD 37138                           |*  |05 37 45.8054489896 +33 33 33.003001656|084.4408560374565 +33.5591675004599|     ~| 7.649| 6.355|     ~|     ~|K0                   |  15 |   0
2735 |HD 201912                          |*  |21 11 48.5320907399 +29 42 42.071731602|317.9522170447497 +29.7116865921116|     ~| 6.688| 6.835|     ~|     ~|B5III                |  24 |   0
2736 |* f Eri B                          |PM*|03 48 35.4778407399 -37 37 19.203877443|057.1478243364163 -37.6220010770675|     ~| 5.26 | 5.25 |     ~|     ~|A1Va                 |  30 |   0
2737 |* kap02 Vol                        |*  |08 20 00.5278529448 -71 30 19.362861898|125.0021993872700 -71.5053785727494|     ~| 5.496| 5.608|     ~|     ~|B9/A0IV              |  65 |   0
2738 |V* RX Lep                          |AB*|05 11 22.8715425 -11 50 56.722211      |077.8452980937 -11.8490895031      | 8.37 | 7.14 | 5.68 |     ~|     ~|M6III                |  96 |   0
2739 |HD 222207                          |*  |23 38 26.4455167368 +42 30 41.426994590|354.6101896530699 +42.5115074984971|     ~| 6.93 | 6.91 |     ~|     ~|~                    |  19 |   0
2740 |* del Psc                          |PM*|00 48 40.94433 +07 35 06.2926          |012.17060139 +07.58508127          | 7.83 | 5.95 | 4.44 | 3.27 | 2.40 |K5-III               | 181 |   0
2741 |V* TW PsA                          |BY*|22 56 24.0532946025 -31 33 56.035064606|344.1002220608437 -31.5655652957240|     ~| 7.58 | 6.48 |     ~|     ~|K4Ve                 | 279 |   0
2742 |HD 108910                          |PM*|12 30 50.3079072994 -04 03 38.892106366|187.7096162804143 -04.0608033628795|     ~| 8.34 | 6.86 |     ~|     ~|K4III                |  22 |   0
2743 |HD 63754                           |PM*|07 49 45.2643196657 -20 12 27.476155389|117.4386013319406 -20.2076322653857|     ~| 7.110| 6.530|     ~|     ~|G0V                  |  63 |   0
2744 |HD 39110                           |*  |05 47 13.3307968192 -54 21 38.595360540|086.8055449867468 -54.3607209334834|     ~| 7.593| 6.171|     ~|     ~|K3III                |  10 |   0
2745 |HD 73710                           |*  |08 40 22.0864080101 +19 40 11.773707165|130.0920267000422 +19.6699371408793| 8.290| 7.410| 6.390| 5.70 | 5.21 |G9III-IIIb           | 167 |   0
2746 |HD 21269                           |*  |03 27 02.3063480477 +34 25 46.197206872|051.7596097835321 +34.4294992241310|     ~| 7.80 | 6.74 |     ~|     ~|G0                   |  21 |   0
2747 |HD 113778                          |V* |13 06 35.0815807599 -41 35 18.395685722|196.6461732531664 -41.5884432460339|     ~| 6.641| 5.588|     ~|     ~|K0II/III             |  24 |   0
2748 |HD 28780                           |*  |04 36 24.1980831906 +64 15 41.764976323|069.1008253466273 +64.2616013823120| 5.850| 5.880| 5.910|     ~|     ~|A1V                  |  44 |   0
2749 |V* V388 Cep                        |dS*|23 15 37.7381406344 +70 53 17.092593606|348.9072422526432 +70.8880812760016| 5.920| 5.800| 5.550|     ~|     ~|F0IV                 |  38 |   0
2750 |HD 199892                          |SB*|20 58 30.9538280433 +41 56 23.727671395|314.6289742835136 +41.9399243531652|     ~| 6.076| 6.156|     ~|     ~|B9III:               |  44 |   0
2751 |* 7 Boo                            |*  |13 53 12.9303341537 +17 55 58.328207501|208.3038763923069 +17.9328689465281|     ~| 6.551| 5.709|     ~|     ~|G5III                |  65 |   0
2752 |V* FM Com                          |dS*|12 19 02.0254481253 +26 00 30.058562840|184.7584393671889 +26.0083496007890|     ~| 6.605| 6.433|     ~|     ~|A6:IV-Vmv            | 148 |   0
2753 |* 43 Cam                           |*  |06 53 42.2479220916 +68 53 17.923758052|103.4260330087148 +68.8883121550145| 4.54 | 4.975| 5.096|     ~|     ~|B7III                |  58 |   0
2754 |HD 7732                            |PM*|01 20 19.3974822272 +77 34 14.466593534|020.0808228426134 +77.5706851648705|     ~| 7.230| 6.318|     ~|     ~|G5III                |  21 |   0
2755 |HD 163685                          |*  |17 58 39.0498363564 -28 45 32.717462473|269.6627076514849 -28.7590881840204| 5.35 | 5.93 | 6.01 |     ~|     ~|B3II/III             |  54 |   0
2756 |V* V419 Cep                        |LP?|21 12 47.2469081501 +60 05 52.799101380|318.1968621172920 +60.0979997503832|     ~| 8.95 | 6.62 |     ~|     ~|M2Ib                 |  53 |   0
2757 |* 53 Gem                           |V* |07 15 57.1676627619 +27 53 50.717051951|108.9881985948413 +27.8974214033198| 9.34 | 7.34 | 5.71 |     ~|     ~|M1III                |  35 |   0
2758 |HD 44594A                          |PM*|06 20 06.1348300702 -48 44 27.923691229|095.0255617919592 -48.7410899142303|     ~| 7.263| 6.608|     ~|     ~|~                    |   4 |   0
2759 |HD 212222                          |Pu*|22 21 50.8732252092 +42 04 41.380805987|335.4619717717049 +42.0781613349965|     ~| 6.279| 6.369|     ~|     ~|B5V                  |  46 |   0
2760 |HD 125113                          |*  |14 16 33.9341072177 +32 12 30.377320711|214.1413921134072 +32.2084381446418|     ~| 7.670| 6.723|     ~|     ~|G5                   |  16 |   0
2761 |HD 17390                           |PM*|02 46 45.1041276622 -21 38 22.281634461|041.6879338652591 -21.6395226762393|     ~| 6.850| 6.469|     ~|     ~|F3IV/V               |  53 |   0
2762 |HD 32518                           |PM*|05 09 36.7200880014 +69 38 21.855089289|077.4030003666725 +69.6394041914692| 8.550| 7.530| 6.420|     ~|     ~|K1III                |  47 |   1
2763 |HD 65522                           |*  |07 59 35.0552726009 +13 14 31.803470958|119.8960636358370 +13.2421676308218|     ~| 7.42 | 6.07 |     ~|     ~|K2                   |  21 |   0
2764 |HD 21743                           |*  |03 31 20.7536780956 +27 34 18.501216280|052.8364736587317 +27.5718058934111|     ~| 6.60 | 6.57 |     ~|     ~|A1V                  |  36 |   0
2765 |HD 47663                           |*  |06 39 46.5297738472 -01 22 48.504732178|099.9438740576967 -01.3801402033827|     ~| 8.17 | 6.91 |     ~|     ~|K0III                |  11 |   0
2766 |HD 55775                           |*  |07 14 10.8499824925 -03 54 06.403006861|108.5452082603854 -03.9017786130169|     ~| 7.55 | 5.94 |     ~|     ~|K5III                |  24 |   0
2767 |HD 114351                          |V* |13 10 49.8491759042 -52 54 27.218891970|197.7077048996008 -52.9075608033251|     ~| 7.75 | 6.65 |     ~|     ~|K1/2III              |   7 |   0
2768 |V* EP UMa                          |a2*|11 09 39.7871529917 +67 12 36.757096055|167.4157798041319 +67.2102103044598|     ~| 6.278| 6.061|     ~|     ~|A7IVpSr              |  81 |   0
2769 |HD 82858                           |*  |09 31 33.0222395594 -66 43 08.498690249|142.8875926648310 -66.7190274139580|     ~| 7.605| 6.255|     ~|     ~|K1III                |  14 |   0
2770 |HD 79481                           |*  |09 14 03.0906796579 -14 41 41.427881597|138.5128778319080 -14.6948410782215|     ~| 7.44 | 6.46 |     ~|     ~|G6/8III/IV           |   8 |   0
2771 |HD 210884                          |PM*|22 10 38.7884127630 +70 07 57.265231366|332.6616183865123 +70.1325736753795|     ~| 5.88 | 5.52 |     ~|     ~|F2V                  |  46 |   0
2772 |* 47 Lib A                         |*  |15 55 00.366321 -19 22 58.50473        |238.751526337 -19.382917981        |     ~| 6.00 | 6.05 |     ~|     ~|~                    |   1 |   0
2773 |HD 121336A                         |*  |13 56 19.9655072175 -54 07 56.730228377|209.0831896134062 -54.1324250634381|     ~| 6.55 | 6.52 |     ~|     ~|~                    |   1 |   0
2774 |HD 66090                           |*  |08 02 07.4990746165 +02 57 38.218662296|120.5312461442353 +02.9606162950821|     ~| 8.29 | 6.76 |     ~|     ~|K4III                |  14 |   0
2775 |HD 22317                           |*  |03 36 39.8223398572 +29 13 26.517369451|054.1659264160717 +29.2240326026252|     ~| 6.78 | 6.52 |     ~|     ~|A5                   |  18 |   0
2776 |HD 75254                           |*  |08 47 51.5419933310 -33 23 54.163264864|131.9647583055459 -33.3983786846844|     ~| 7.98 | 6.79 |     ~|     ~|K1III                |   9 |   0
2777 |HD 28976                           |PM*|04 34 45.4413732441 +22 41 32.329843551|068.6893390551838 +22.6923138454308|     ~| 7.25 | 6.76 |     ~|     ~|F5                   |  31 |   0
2778 |HD 169326                          |*  |18 27 04.2230568868 -53 06 36.761401746|276.7675960703617 -53.1102115004849|     ~| 7.15 | 5.96 |     ~|     ~|K2III                |   4 |   0
2779 |HD 31331                           |SB*|04 54 50.7086719410 +00 28 01.807624215|073.7112861330876 +00.4671687845043|     ~| 5.858| 5.965|     ~|     ~|B5/7II               |  53 |   0
2780 |HD 23841                           |PM*|03 48 30.7653171941 +09 38 45.413893696|057.1281888216420 +09.6459483038044|     ~| 7.91 | 6.69 |     ~|     ~|K1III                |  59 |   0
2781 |* psi Vir                          |LP*|12 54 21.1634176 -09 32 20.378283      |193.5881809067 -09.5389939675      | 7.94 | 6.39 | 4.80 | 3.23 | 1.95 |M3-III               | 162 |   0
2782 |HD 89268                           |PM*|10 18 58.7271741628 +46 45 38.796343598|154.7446965590118 +46.7607767621105| 8.780| 7.610| 6.400|     ~|     ~|K1III                |  18 |   0
2783 |V* DU Lyn                          |LP*|07 46 39.2814906790 +37 31 02.631757858|116.6636728778290 +37.5173977105160| 8.70 | 6.76 | 5.18 |     ~|     ~|M3III                |  48 |   0
2784 |HD 173183                          |*  |18 46 03.5535391750 -42 33 58.926169633|281.5148064132289 -42.5663683804535|     ~| 7.32 | 6.97 |     ~|     ~|F3V                  |  22 |   0
2785 |* zet Pyx                          |PM*|08 39 42.4733206577 -29 33 39.907903574|129.9269721694069 -29.5610855287706|     ~| 5.777| 4.872|     ~|     ~|G6IIIbCN-0.5         |  51 |   0
2786 |* 9 LMi                            |PM*|09 33 30.3627323129 +36 29 13.014568011|143.3765113846373 +36.4869484911142|     ~| 7.441| 6.181|     ~|     ~|K4III:               |  21 |   0
2787 |* gam02 And                        |** |02 03 54.7399980936 +42 19 51.336648306|030.9780833253900 +42.3309268467516|     ~| 5.02 | 5.82 |     ~|     ~|B8V+A0V              | 148 |   2
2788 |BD-01 3486A                        |*  |18 24 57.208 -01 34 45.87              |276.238367 -01.579408              |     ~| 7.11 | 6.68 |     ~|     ~|F6III                |   6 |   0
2789 |V* V952 Sco                        |a2*|16 10 15.9213324630 -26 54 32.880459571|242.5663388852627 -26.9091334609918|     ~| 6.634| 6.587|     ~|     ~|ApSi                 |  81 |   0
2790 |HD 130005                          |PM*|14 45 36.1638117795 +08 09 34.843617233|221.4006825490811 +08.1596787825648|     ~| 8.00 | 6.97 |     ~|     ~|K0                   |   8 |   0
2791 |HD 78005                           |V* |09 04 05.7792542192 -47 26 29.212440445|136.0240802259133 -47.4414479001236| 5.64 | 6.290| 6.438|     ~|     ~|B3IV/V               |  36 |   0
2792 |V* V410 Pup                        |EB*|07 59 45.9266086273 -47 18 12.696864579|119.9413608692803 -47.3035269068276|     ~| 6.647| 6.716|     ~|     ~|B8V                  |  22 |   1
2793 |HD 115988                          |*  |13 21 25.9078344885 -43 38 03.579384898|200.3579493103687 -43.6343276069161|     ~| 6.647| 6.662|     ~|     ~|B9V                  |  26 |   0
2794 |HD 221701                          |PM*|23 34 25.1685144113 +05 28 13.966536627|353.6048688100470 +05.4705462601743|     ~| 7.29 | 6.90 |     ~|     ~|F0/2V                |  25 |   0
2795 |HD 196385                          |PM*|20 37 52.2291323290 -25 06 33.180779917|309.4676213847042 -25.1092168833103|     ~| 6.684| 6.377|     ~|     ~|A9V                  |  49 |   0
2796 |* 9 And                            |EB*|23 18 23.3220221496 +41 46 25.203107244|349.5971750922901 +41.7736675297901| 6.340| 6.180| 5.970|     ~|     ~|A7m                  | 108 |   0
2797 |HD 44033                           |Pu*|06 20 04.2236151204 +14 39 04.057892507|095.0175983963352 +14.6511271923630|     ~| 7.224| 5.658|     ~|     ~|K5III                |  71 |   0
2798 |V* ET UMa                          |a2*|10 24 07.8480130480 +65 33 59.120995310|156.0327000543665 +65.5664224986973|     ~| 4.889| 4.930|     ~|     ~|A1:VpSiSrHg          | 266 |   0
2799 |HD 50235                           |*  |06 50 52.3519384867 -34 22 02.347412642|102.7181330770281 -34.3673187257340|     ~| 6.370| 4.989|     ~|     ~|K2/3III              |  30 |   0
2800 |HD 62400                           |*  |07 40 52.2873112155 -54 42 25.137902484|115.2178637967314 -54.7069827506900|     ~| 7.03 | 6.67 |     ~|     ~|F0III                |  21 |   0
